image_filename,has_detection,person_detected,object_detected,vehicle_detected,animal_detected,food_detected,face_count,gray_histogram,gray_median,hue_histogram,hue_median,saturation_histogram,saturation_median,value_histogram,value_median,edges
https_i.ytimg.comviOx-DSihhpBMdefault.jpg,True,True,True,False,False,True,0,[0.37736928 0.16196895 0.21188725 0.10371732 0.14505719],91.0,[0.45796569 0.01519608 0.1932598  0.23921569 0.09436275],91.0,[0.49730392 0.22855392 0.10379902 0.04583333 0.1245098 ],51.0,[0.1682598  0.17708333 0.16066176 0.18333333 0.31066176],151.0,0.2957107843137255
https_i.ytimg.comviOy9R-z7YTRcdefault.jpg,True,True,True,False,False,False,1,[0.33125    0.20073529 0.2559232  0.1556781  0.0564134 ],91.0,[0.2745098  0.01985294 0.07328431 0.44791667 0.18443627],114.0,[0.31458333 0.15919118 0.14730392 0.23223039 0.14669118],111.0,[0.4064951  0.39105392 0.11556373 0.06482843 0.02205882],61.0,0.17426470588235293
https_i.ytimg.comviOyf5o1zWMd0default.jpg,True,True,True,False,False,False,0,[0.41368464 0.14505719 0.17071078 0.17961601 0.09093137],80.0,[0.42561275 0.03615196 0.01789216 0.10870098 0.41164216],114.5,[0.13480392 0.24852941 0.24522059 0.12561275 0.24583333],120.0,[0.67230392 0.14264706 0.09754902 0.06053922 0.02696078],33.0,0.14620098039215687
https_i.ytimg.comviOylDdm-6ZH0default.jpg,True,False,True,False,False,False,2,[0.27839052 0.22696078 0.09522059 0.17111928 0.22830882],99.0,[0.61813725 0.01384804 0.04227941 0.01433824 0.31139706],10.0,[0.21887255 0.56678922 0.15061275 0.03811275 0.02561275],70.0,[0.02193627 0.04767157 0.08345588 0.19436275 0.65257353],225.0,0.22487745098039216
https_i.ytimg.comviOyq8Di01nN8default.jpg,False,False,False,False,False,False,0,[0.5192402  0.20392157 0.14330065 0.08129085 0.05224673],46.0,[0.49166667 0.04816176 0.19129902 0.15833333 0.11053922],38.0,[0.52598039 0.25453431 0.1189951  0.0627451  0.0377451 ],46.0,[0.53039216 0.18394608 0.08921569 0.07916667 0.11727941],48.0,0.16654411764705881
https_i.ytimg.comviOzKmR5BLdbQdefault.jpg,True,True,False,False,False,False,2,[0.38660131 0.35228758 0.15629085 0.06560458 0.03921569],72.0,"[9.17401961e-01 3.67647059e-04 6.12745098e-03 4.52205882e-02
 3.08823529e-02]",10.0,[0.0817402  0.58063725 0.30318627 0.02279412 0.01164216],93.0,[0.27647059 0.37365196 0.11678922 0.13811275 0.09497549],82.0,0.127328431372549
https_i.ytimg.comviOziQ_a3Rpqwdefault.jpg,True,True,False,False,False,False,1,[0.45367647 0.22839052 0.13104575 0.08901144 0.09787582],59.0,[0.59791667 0.15245098 0.14803922 0.08406863 0.01752451],27.0,[0.34583333 0.37977941 0.16642157 0.06053922 0.04742647],70.0,[0.32757353 0.13811275 0.09742647 0.19068627 0.24620098],122.0,0.2485294117647059
https_i.ytimg.comviP-2r8XEuCIIdefault.jpg,True,True,False,False,False,False,0,[0.39330065 0.12520425 0.21593137 0.16360294 0.10196078],95.0,[0.65330882 0.02990196 0.08186275 0.14166667 0.0932598 ],19.0,[0.40122549 0.23063725 0.28848039 0.04509804 0.03455882],72.0,[0.10784314 0.09632353 0.16666667 0.35784314 0.27132353],174.0,0.19607843137254902
https_i.ytimg.comviP-MQBhBwvgMdefault.jpg,True,False,True,False,False,False,0,[0.32851307 0.22071078 0.17634804 0.13508987 0.13933824],90.0,[0.33541667 0.1502451  0.17928922 0.18455882 0.1504902 ],75.0,[0.53370098 0.22303922 0.11090686 0.08235294 0.05      ],46.0,[0.07279412 0.22009804 0.1317402  0.21629902 0.35906863],173.0,0.2582107843137255
https_i.ytimg.comviP1-UTlnjeVgdefault.jpg,True,False,True,False,True,True,0,[0.33014706 0.34750817 0.17802288 0.05253268 0.09178922],71.0,[0.30882353 0.64718137 0.03713235 0.00514706 0.00171569],39.0,[0.16605392 0.51066176 0.09080882 0.08259804 0.14987745],76.0,[0.05318627 0.32585784 0.42414216 0.07218137 0.12463235],111.0,0.19558823529411765
https_i.ytimg.comviP1nCVWBTaysdefault.jpg,True,False,True,False,False,False,0,[0.42867647 0.12389706 0.17675654 0.21658497 0.05408497],79.0,[0.43284314 0.11286765 0.10012255 0.07022059 0.28394608],60.0,[0.40036765 0.13039216 0.16764706 0.17205882 0.12953431],90.0,[0.42205882 0.0622549  0.26323529 0.21973039 0.03272059],106.0,0.19473039215686275
https_i.ytimg.comviP21a5Uty-ucdefault.jpg,True,False,True,False,False,False,0,[0.13549837 0.31254085 0.16838235 0.18190359 0.20167484],127.0,[0.25698529 0.01213235 0.68835784 0.01556373 0.02696078],92.0,[0.11985294 0.23210784 0.14105392 0.14178922 0.36519608],155.5,[0.0252451  0.02095588 0.37303922 0.34595588 0.23480392],157.0,0.20159313725490197
